time,u1,u2,u3,y,z,phi,beta
3.8200000000000003,6.7042382165002445,-8.935575143663335,-0.5830194673740008,7.226363,5.394821,-0.31100044,0.32597914
3.84,6.78502861032959,-15.0,-0.49595343420406435,7.169329,5.3935676,-0.28082967,0.31933817
3.86,6.8879687694296985,-15.0,-0.3685404383309952,7.111009,5.3922343,-0.28933635,0.31167603
3.88,6.9090925055728105,3.8011318416719964,-0.33004307758478396,7.0516114,5.3912354,-0.33686027,0.30698317
3.9,6.832276683536805,15.0,-0.41706384450554695,6.991122,5.3906612,-0.37336773,0.30633897
3.92,6.731252521350495,15.0,-0.5444248601685502,6.9292884,5.390175,-0.36876303,0.3068419
3.94,6.707184807824883,-2.83574258793309,-0.5868949190820998,6.8658905,5.389347,-0.32270652,0.30450442
3.96,6.7846632890119025,-15.0,-0.5039134565713079,6.800922,5.3880777,-0.28264695,0.2981681
3.98,6.88871459091546,-15.0,-0.3780357935178918,6.7346196,5.386703,-0.2812436,0.29068294
4.0,6.9162051216447535,-5.646516113727593,-0.335212571415905,6.667225,5.385656,-0.31883213,0.2860799
4.0200000000000005,6.841417132249083,15.0,-0.4189305422543425,6.5987654,5.38506,-0.37058416,0.28565276
4.04,6.73463687858263,15.0,-0.5496587595000129,6.5290375,5.3846073,-0.38121903,0.2866946
4.0600000000000005,6.697563321294244,15.0,-0.6019619290531222,6.457762,5.383825,-0.35038817,0.28498343
4.08,6.772157552343774,15.0,-0.5219409189347842,6.3848677,5.382547,-0.27795208,0.27891976
4.1,6.888794967108387,15.0,-0.3850679647977236,6.3105226,5.3810706,-0.16412413,0.27111927
4.12,6.938612690674122,-2.5938916977720865,-0.3230284095185837,6.2351003,5.3799295,-0.009269342,0.26621288
4.14,6.862922415852993,-15.0,-0.40553887292721214,6.1591167,5.3794785,0.13952981,0.2669021
4.16,6.700090132232736,-15.0,-0.5801171279713728,6.0831842,5.379605,0.2494104,0.27165702
4.18,6.55861229172999,-15.0,-0.7167604059411214,6.0078073,5.3797927,0.32083797,0.27582487
4.2,6.53546552048482,-5.777773576996005,-0.7124732731029271,5.9333143,5.3795547,0.3541769,0.27548632
